ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	2/3 deg.
DivH.L.Slit	10mm
SctSlit	2/3 deg.
RecSlit	0.3mm
Start	10
Stop	90
Step	0.02
Speed	2
Offset	0
33.78	10
33.8	20
33.82	28.3333
33.84	8.33333
33.86	11.6667
33.88	10
33.9	8.33333
33.92	16.6667
33.94	18.3333
33.96	15
33.98	18.3333
34	6.66667
34.02	11.6667
34.04	13.3333
34.06	11.6667
34.08	13.3333
34.1	13.3333
34.12	11.6667
34.14	8.33333
34.16	10
34.18	11.6667
34.2	10
34.22	11.6667
34.24	18.3333
34.26	8.33333
34.28	6.66667
34.3	20
34.32	23.3333
34.34	15
34.36	15
34.38	10
34.4	21.6667
34.42	20
34.44	16.6667
34.46	10
34.48	15
34.5	20
34.52	16.6667
34.54	20
34.56	21.6667
34.58	20
34.6	18.3333
34.62	15
34.64	8.33333
34.66	21.6667
34.68	11.6667
34.7	11.6667
34.72	8.33333
34.74	10
34.76	18.3333
34.78	15
34.8	10
34.82	13.3333
34.84	10
34.86	20
34.88	15
34.9	6.66667
34.92	8.33333
34.94	8.33333
34.96	13.3333
34.98	5
35	11.6667
35.02	10
35.04	23.3333
35.06	21.6667
35.08	18.3333
35.1	25
35.12	31.6667
35.14	15
35.16	20
35.18	20
35.2	18.3333
35.22	18.3333
35.24	26.6667
35.26	18.3333
35.28	13.3333
35.3	10
35.32	13.3333
35.34	10
35.36	6.66667
35.38	11.6667
35.4	13.3333
35.42	11.6667
35.44	13.3333
35.46	13.3333
35.48	8.33333
35.5	5
35.52	13.3333
35.54	16.6667
35.56	18.3333
35.58	6.66667
35.6	10
35.62	8.33333
35.64	6.66667
35.66	13.3333
35.68	13.3333
35.7	11.6667
35.72	13.3333
35.74	5
35.76	13.3333
35.78	10
35.8	15
35.82	8.33333
35.84	15
35.86	8.33333
35.88	10
35.9	13.3333
35.92	20
35.94	5
35.96	10
35.98	15
36	13.3333
36.02	10
36.04	11.6667
36.06	16.6667
36.08	10
36.1	21.6667
36.12	28.3333
36.14	30
36.16	30
36.18	18.3333
36.2	33.3333
36.22	21.6667
36.24	25
36.26	8.33333
36.28	15
36.3	21.6667
36.32	16.6667
36.34	13.3333
36.36	31.6667
36.38	8.33333
36.4	10
36.42	20
36.44	23.3333
36.46	28.3333
36.48	28.3333
36.5	36.6667
36.52	41.6667
36.54	36.6667
36.56	26.6667
36.58	26.6667
36.6	33.3333
36.62	30
36.64	30
36.66	31.6667
36.68	18.3333
36.7	20
36.72	23.3333
36.74	13.3333
36.76	8.33333
36.78	8.33333
36.8	13.3333
36.82	11.6667
36.84	10
36.86	10
36.88	3.33333
36.9	6.66667
36.92	10
36.94	6.66667
36.96	10
36.98	8.33333
37	6.66667
37.02	18.3333
37.04	16.6667
37.06	5
37.08	5
37.1	1.66667
37.12	6.66667
37.14	16.6667
37.16	6.66667
37.18	16.6667
37.2	8.33333
37.22	6.66667
37.24	10
37.26	16.6667
37.28	11.6667
37.3	11.6667
37.32	11.6667
37.34	11.6667
37.36	11.6667
37.38	5
37.4	6.66667
37.42	10
37.44	11.6667
37.46	6.66667
37.48	13.3333
37.5	8.33333
37.52	8.33333
37.54	13.3333
37.56	5
37.58	6.66667
37.6	11.6667
37.62	8.33333
37.64	0
37.66	8.33333
37.68	10
37.7	6.66667
37.72	10
37.74	8.33333
37.76	6.66667
37.78	10
37.8	10
37.82	3.33333
37.84	8.33333
37.86	8.33333
37.88	8.33333
37.9	15
37.92	10
37.94	10
37.96	8.33333
37.98	15
38	13.3333
38.02	11.6667
38.04	15
38.06	8.33333
38.08	11.6667
38.1	16.6667
38.12	20
38.14	8.33333
38.16	6.66667
38.18	8.33333
38.2	3.33333
38.22	8.33333
38.24	10
38.26	8.33333
38.28	10
38.3	10
38.32	6.66667
38.34	11.6667
38.36	1.66667
38.38	5
38.4	10
38.42	11.6667
38.44	18.3333
38.46	11.6667
38.48	15
38.5	8.33333
38.52	8.33333
38.54	10
38.56	3.33333
38.58	8.33333
38.6	10
38.62	5
38.64	11.6667
